,Acceleration,Agility,Awareness,Ball Carrier Vision,Block Shedding,Carrying,Catch In Traffic,Catching,Elusiveness,Finesse Moves,Hit Power,Impact Blocking,Injury,Juke Move,Jumping,Man Coverage,Name,Overall Rating,Pass Block,Play Action,Play Recognition,Position,Power Moves,Press,Pursuit,Release,Route Running,Run Block,Spectacular Catch,Speed,Spin Move,Stamina,Stiff Arm,Strength,Tackle,Team,Throw Accuracy Deep,Throw Accuracy Mid,Throw Accuracy Short,Throw Power,Throw on the Run,Toughness,Trucking,Zone Coverage,Wt,Vertical,Bench,Broad Jump,3Cone,Shuttle,40yd
194,92,88,64,75,26,65,78,80,63,10,12,43,88,78,87,20,Cody Core,68,47,6,25,WR,10,10,38,76,66,55,83,90,73,89,48,63,21,Bengals,6,10,15,29,10,75,45,25,205.0,31.5,14.0,119.0,121.61290322580645,4.206999999999997,4.47
196,91,85,64,79,30,74,78,83,66,10,30,51,89,75,78,15,Josh Malone,68,48,15,18,WR,10,10,36,68,66,53,83,92,71,86,53,61,28,Bengals,14,18,24,28,24,79,32,26,208.0,30.5,10.0,121.0,7.05,4.19,4.4
213,88,88,41,79,39,63,62,77,76,11,15,45,90,80,74,16,Alonzo Russell,62,36,6,40,WR,11,16,37,70,79,45,77,91,78,90,54,60,31,Bengals,6,10,15,35,10,70,51,24,206.0,29.5,12.0,112.0,7.18,4.33,4.54
214,90,88,42,75,30,62,75,73,76,11,15,45,85,80,80,16,Chris Brown,61,36,6,30,WR,11,16,37,60,78,45,81,89,78,88,32,58,20,Bengals,6,10,15,35,10,76,24,24,194.0,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.48
215,90,85,50,73,52,70,74,80,63,10,12,49,88,71,82,15,Alex Erickson,61,50,6,50,WR,10,10,35,40,74,58,73,88,72,88,55,64,33,Bengals,6,10,15,21,10,80,55,26,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
232,84,82,93,89,55,79,87,86,74,10,12,65,84,83,86,14,Anquan Boldin,82,28,25,21,WR,10,20,55,84,85,41,83,80,82,90,91,79,45,Bills,28,44,50,65,66,99,81,27,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
235,91,87,86,84,35,76,84,82,71,10,12,53,95,75,88,12,Jordan Matthews,81,45,6,18,WR,10,10,41,79,85,53,86,90,72,94,78,68,39,Bills,6,10,15,29,10,79,67,30,212.0,35.5,21.0,120.0,6.95,4.18,4.46
239,94,92,83,85,39,75,81,83,87,10,12,49,93,88,84,13,Philly Brown,77,36,6,20,WR,10,18,35,65,82,55,87,90,82,88,32,39,29,Bills,6,10,15,25,10,74,31,25,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
243,88,84,78,74,57,75,83,82,75,10,12,49,82,76,87,11,Andre Holmes,76,34,10,19,WR,15,10,60,81,77,42,88,87,71,84,48,67,27,Bills,20,25,30,35,20,80,56,16,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
250,91,86,68,81,27,75,86,88,76,22,37,49,94,75,87,15,Zay Jones,74,38,19,17,WR,18,20,23,67,67,44,90,90,62,92,79,76,34,Bills,25,29,34,38,34,90,69,24,201.0,36.5,15.0,133.0,6.79,4.01,4.45
264,88,85,65,73,45,74,81,83,74,10,15,51,90,82,90,18,Rod Streater,71,43,6,22,WR,10,45,49,74,73,54,78,89,80,90,52,64,42,Bills,6,10,15,25,10,82,54,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
270,91,87,66,85,42,69,74,75,86,10,15,45,79,85,91,18,Brandon Tate,69,40,6,26,WR,10,25,28,65,68,59,80,88,84,87,67,66,32,Bills,6,10,15,25,10,90,69,24,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
278,91,90,64,83,35,69,78,79,86,10,12,45,88,87,84,15,Walter Powell,66,35,6,21,WR,10,15,36,53,61,58,83,91,78,92,45,49,25,Bills,6,10,15,35,10,72,42,30,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
279,89,88,62,83,35,69,70,79,79,35,15,43,88,83,86,25,Rashad Ross,66,40,10,17,WR,25,15,29,62,67,40,79,92,79,87,36,48,35,Bills,10,15,15,35,11,78,34,35,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
282,91,82,46,73,40,69,83,87,72,10,15,49,87,75,87,18,Dezmin Lewis,65,44,6,25,WR,10,25,30,78,52,43,80,90,71,86,60,68,35,Bills,6,10,15,29,10,84,67,25,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
286,88,88,51,67,22,63,82,77,82,11,24,57,88,86,80,16,Daikiel Shorts,63,46,22,19,WR,11,16,44,62,66,50,77,86,81,90,56,57,35,Bills,20,24,28,33,29,86,63,23,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
301,92,94,94,89,35,69,90,97,90,10,12,40,87,88,92,13,Emmanuel Sanders,89,26,6,20,WR,10,18,35,83,92,63,93,92,86,91,35,42,25,Broncos,6,10,15,35,10,78,30,25,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
303,92,94,90,88,45,68,89,83,65,10,15,65,89,84,95,11,Demaryius Thomas,87,45,28,17,WR,10,15,47,93,89,67,94,91,79,90,89,77,22,Broncos,28,35,44,68,39,93,73,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
320,88,91,66,84,26,76,83,84,84,10,18,49,85,83,86,17,Carlos Henderson,76,44,20,26,WR,10,15,38,81,77,53,82,90,73,91,78,65,31,Broncos,15,18,23,27,22,74,66,14,199.0,36.0,13.0,131.0,7.18,4.35,4.46
333,88,87,66,77,53,71,85,80,70,32,35,55,82,77,88,32,Marlon Brown,71,42,15,35,WR,30,40,30,72,75,51,87,88,74,88,72,57,45,Broncos,10,10,15,35,15,72,45,43,213.0,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.63
335,90,86,70,84,52,69,70,80,66,10,15,55,82,78,86,18,Bennie Fowler III,71,42,6,26,WR,10,25,44,78,69,54,84,91,74,85,65,70,42,Broncos,6,10,15,30,10,66,66,24,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
347,90,88,48,73,42,70,88,78,55,10,15,59,82,74,91,18,Cody Latimer,68,51,6,26,WR,10,25,35,84,65,51,84,90,70,88,65,73,35,Broncos,6,10,15,32,10,87,68,24,215.0,35.25526315789474,23.0,121.61290322580645,121.61290322580645,4.206999999999997,4.52
351,93,96,58,82,22,62,69,80,76,10,16,43,87,88,86,15,Isaiah McKenzie,67,34,6,20,WR,10,15,33,74,69,39,75,92,86,88,35,55,22,Broncos,6,10,15,37,10,67,24,24,173.0,36.0,11.0,123.0,6.64,4.15,4.42
357,90,86,61,63,31,58,78,82,54,28,47,53,86,66,87,20,Jordan Taylor,65,49,42,25,WR,28,21,38,68,68,49,84,88,60,88,58,56,39,Broncos,39,43,51,55,45,89,48,30,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
359,94,91,48,78,34,66,73,79,75,16,42,41,86,81,82,22,Kalif Raymond,64,38,6,24,WR,11,22,52,55,69,49,80,94,77,88,53,53,44,Broncos,6,10,15,35,10,75,32,31,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
375,88,84,86,85,40,72,87,86,77,10,55,62,82,81,91,17,Kenny Britt,82,50,6,18,WR,10,15,47,85,83,59,88,86,78,95,81,77,30,Browns,6,10,15,26,10,96,76,25,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
385,93,92,74,83,26,70,83,81,82,11,24,49,87,84,93,29,Corey Coleman,78,39,6,21,WR,11,20,43,81,75,41,91,93,83,92,51,66,28,Browns,6,10,15,29,10,83,39,24,194.0,40.5,17.0,129.0,121.61290322580645,4.206999999999997,4.42
386,89,89,72,86,42,73,84,84,82,10,15,55,90,86,86,18,Josh Gordon,78,44,6,20,WR,10,45,45,83,78,45,89,90,80,88,72,69,44,Browns,6,10,15,39,10,82,62,20,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
421,90,89,60,77,36,63,76,78,81,11,15,45,89,84,89,16,Ricardo Louis,66,40,6,21,WR,11,16,37,60,65,45,82,91,73,90,40,67,22,Browns,6,10,15,32,10,82,29,24,215.0,38.0,18.0,132.0,121.61290322580645,4.206999999999997,4.43
424,88,86,58,79,36,71,77,81,68,11,15,49,90,77,84,16,Rashard Higgins,65,38,6,21,WR,11,16,37,59,72,43,74,85,78,88,47,66,31,Browns,6,10,15,29,10,87,42,24,196.0,32.0,13.0,116.0,121.61290322580645,4.206999999999997,4.64
428,89,89,51,73,37,72,79,72,65,10,12,49,90,83,85,12,Josh Boyce,64,37,6,20,WR,10,15,30,74,62,53,81,91,82,90,54,70,35,Browns,6,10,15,40,10,86,69,35,206.0,34.0,22.0,131.0,6.68,4.1,4.38
431,90,87,53,73,27,68,74,82,64,11,15,42,92,71,89,16,Jordan Payton,64,47,6,21,WR,11,16,33,53,70,57,76,90,74,88,68,67,37,Browns,6,10,15,35,10,87,37,24,207.0,34.5,14.181818181818182,121.0,7.08,4.33,4.47
433,91,87,53,79,32,52,81,70,77,10,12,50,85,79,92,15,Rannell Hall,62,30,6,20,WR,10,15,35,57,65,50,79,87,85,87,55,68,25,Browns,6,10,15,35,10,84,48,35,198.0,41.0,16.0,132.0,6.86,4.15,4.6
438,91,95,55,80,30,55,71,76,85,10,15,42,91,79,84,12,Mario Alford,60,25,6,25,WR,10,15,40,54,53,38,65,93,85,88,35,65,35,Browns,6,10,15,47,10,68,32,25,180.0,34.0,13.0,121.0,6.64,4.07,4.43
441,91,86,96,88,35,77,95,88,76,10,15,59,91,83,94,20,Mike Evans,90,45,10,15,WR,10,20,25,95,88,65,96,88,75,92,79,81,39,Buccaneers,15,20,25,35,15,88,76,15,231.0,37.0,12.0,121.61290322580645,7.08,4.26,4.53
444,93,96,92,94,35,65,84,90,95,10,12,45,84,92,87,15,DeSean Jackson,87,30,6,20,WR,10,15,35,81,90,33,92,94,91,97,45,47,22,Buccaneers,6,10,15,40,10,72,42,35,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
462,89,86,81,79,33,67,79,87,78,10,15,45,87,78,83,10,Adam Humphries,76,25,6,19,WR,10,15,39,72,83,57,76,88,74,88,46,64,28,Buccaneers,6,10,15,33,10,66,38,16,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
464,92,86,65,82,28,75,79,82,79,10,33,43,97,79,86,15,Chris Godwin,75,40,6,20,WR,10,18,32,81,79,47,82,91,71,93,62,72,27,Buccaneers,10,15,20,33,15,87,78,25,209.0,36.0,19.0,126.0,7.01,4.0,4.42
477,93,89,73,79,35,68,74,76,85,10,15,51,87,86,86,10,Josh Huff,71,31,6,28,WR,10,15,49,68,74,56,76,91,82,94,54,60,27,Buccaneers,6,10,15,27,10,85,50,17,206.0,35.5,14.0,116.0,121.61290322580645,4.206999999999997,4.51
499,91,90,58,78,29,71,77,75,78,10,12,41,90,82,91,26,Donteea Dye Jr,64,47,15,30,WR,10,10,41,52,59,51,76,91,79,87,64,69,48,Buccaneers,15,19,21,34,27,71,44,29,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
504,89,92,56,74,39,68,68,78,79,25,28,45,90,84,84,61,Freddie Martino,62,40,10,35,WR,10,43,49,55,61,38,81,89,78,85,45,55,39,Buccaneers,10,10,10,40,10,72,42,63,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
505,91,88,51,80,23,70,76,77,73,10,24,34,87,79,77,12,Bobo Wilson Jr,62,38,6,17,WR,10,15,35,58,70,39,74,87,73,90,43,58,26,Buccaneers,6,10,15,29,10,72,38,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
512,91,92,61,79,25,64,67,80,81,10,12,40,90,87,87,13,Bernard Reedy,60,36,6,20,WR,10,18,35,49,56,35,56,88,83,89,27,62,31,Buccaneers,6,10,15,35,10,68,26,25,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
518,89,85,97,92,40,74,95,95,68,10,12,68,94,82,96,18,Larry Fitzgerald,90,40,6,30,WR,10,10,42,92,94,70,97,84,79,98,78,78,30,Cardinals,6,10,15,26,10,97,69,14,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
521,90,97,87,90,35,71,85,88,92,10,12,45,87,93,91,10,John Brown,84,30,6,20,WR,10,15,35,81,88,61,90,94,85,88,38,41,25,Cardinals,6,10,15,35,10,65,39,35,179.0,36.5,14.181818181818182,119.0,6.91,4.12,4.34
537,90,92,71,75,45,68,83,82,72,10,25,62,89,76,90,10,Jaron Brown,74,42,6,17,WR,10,25,35,70,74,61,85,91,72,85,60,67,39,Cardinals,6,10,15,32,10,73,58,22,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
542,94,92,75,86,30,68,78,84,80,10,15,45,78,90,88,19,J.J. Nelson,73,27,15,27,WR,10,15,24,57,75,49,79,96,80,88,36,39,24,Cardinals,21,25,29,28,15,65,29,25,156.0,36.0,14.181818181818182,127.0,7.02,4.15,4.28
547,90,93,77,84,26,84,77,77,73,10,20,44,76,91,84,15,Andre Ellington,72,39,15,20,WR,10,20,35,63,74,33,75,90,85,92,62,54,29,Cardinals,20,29,33,25,15,82,52,15,199.0,34.0,14.181818181818182,122.0,121.61290322580645,4.206999999999997,4.61
550,89,85,60,79,31,71,83,85,74,10,33,52,88,79,85,15,Chad Williams,72,47,24,24,WR,10,40,37,73,71,53,85,90,72,89,68,76,29,Cardinals,24,28,33,42,36,81,69,25,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
551,93,85,67,73,40,66,76,78,71,10,15,61,84,73,91,18,Aaron Dobson,71,46,6,25,WR,10,25,30,79,71,38,87,89,74,88,62,65,35,Cardinals,6,10,15,35,10,73,72,25,210.0,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.37
566,92,92,59,88,36,68,72,77,89,10,12,43,87,89,95,19,Jeremy Ross,67,22,6,20,WR,10,15,35,62,68,45,76,89,75,85,55,60,22,Cardinals,6,10,15,35,10,66,55,35,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
577,89,88,60,77,45,63,75,77,82,15,12,43,92,87,88,15,Brittan Golden,63,22,10,15,WR,15,10,15,55,65,52,74,88,78,87,35,54,35,Cardinals,10,10,10,30,10,66,35,20,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
581,92,88,49,73,36,65,76,78,67,11,28,48,81,76,83,34,Marquis Bundy,62,44,6,21,WR,11,45,48,65,61,55,79,89,71,87,54,66,33,Cardinals,6,10,15,35,10,71,52,44,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
583,91,92,47,77,27,69,76,76,73,10,29,44,92,76,87,17,Krishawn Hogan,61,36,26,14,WR,10,16,33,63,59,42,77,87,68,87,52,64,26,Cardinals,20,24,28,33,31,84,38,28,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
584,90,91,53,74,32,61,75,76,79,26,37,47,84,85,84,44,Chris Hubert,60,41,38,19,WR,25,48,53,57,56,46,78,85,77,91,62,48,42,Cardinals,39,43,48,49,54,72,48,48,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
590,92,91,90,89,35,74,94,92,73,10,15,65,71,85,91,15,Keenan Allen,89,45,15,26,WR,10,10,35,89,94,49,89,89,79,94,73,69,34,Chargers,15,25,30,35,25,83,71,26,206.0,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.58
603,91,96,87,87,35,73,82,86,88,20,12,43,82,93,90,15,Travis Benjamin,80,26,10,15,WR,15,13,19,67,85,56,84,92,83,92,39,37,20,Chargers,10,10,10,30,10,62,37,20,172.0,38.0,14.0,119.0,121.61290322580645,4.206999999999997,4.31
607,93,94,83,81,40,75,80,84,75,10,15,53,85,84,91,20,Tyrell Williams,80,45,18,25,WR,10,25,42,77,82,62,82,91,75,87,62,67,42,Chargers,27,21,26,34,29,77,53,35,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
610,87,84,74,87,38,76,87,87,83,10,26,58,86,80,80,18,Mike Williams,79,54,6,28,WR,10,12,34,84,77,60,91,89,78,96,82,75,37,Chargers,6,10,15,26,10,83,73,14,218.0,32.5,15.0,121.0,121.61290322580645,4.206999999999997,4.495333333333335
613,87,92,78,74,35,70,80,88,72,10,12,44,92,76,85,13,Dontrelle Inman,76,35,6,27,WR,10,10,18,76,81,62,83,88,72,87,61,54,39,Chargers,6,10,15,35,10,74,62,21,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
648,91,91,48,70,29,64,80,84,64,10,15,54,83,72,87,20,Geremy Davis,64,45,22,25,WR,10,15,39,79,53,50,74,89,70,87,61,72,37,Chargers,20,22,24,35,19,70,65,25,216.0,36.5,23.0,124.0,6.86,4.18,4.49
650,88,87,52,82,27,72,79,80,76,10,27,44,92,80,76,13,Artavis Scott,64,36,27,18,WR,10,18,33,60,67,45,77,88,74,93,59,62,24,Chargers,19,23,28,32,30,87,53,25,193.0,31.0,13.0,116.0,7.19,4.49,4.61
656,90,91,47,84,44,69,78,75,83,10,15,44,93,87,80,12,Isaiah Burse,61,25,6,22,WR,10,15,37,58,66,30,71,87,81,89,37,57,20,Chargers,6,10,15,29,10,68,31,22,188.0,31.0,16.0,115.0,6.74,3.94,4.58
657,82,86,42,79,39,63,74,75,76,11,15,45,87,80,85,16,Jamaal Jones,61,36,15,21,WR,11,16,37,70,70,45,73,86,78,88,54,63,31,Chargers,15,25,30,35,25,76,51,24,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
659,91,87,46,75,50,70,75,82,75,10,12,52,93,71,87,15,Da'Ron Brown,57,47,35,25,WR,10,10,51,48,42,50,79,88,69,89,72,65,48,Chargers,39,49,51,54,54,75,63,25,205.0,37.0,17.0,120.0,7.04,4.11,4.54
671,96,94,84,87,21,75,82,87,86,10,25,40,88,94,91,10,Tyreek Hill,83,33,6,26,WR,10,30,33,77,81,40,84,97,85,89,37,64,27,Chiefs,6,10,15,36,10,66,31,20,201.71162790697673,35.25526315789474,14.181818181818182,121.61290322580645,121.61290322580645,4.206999999999997,4.495333333333335
687,92,91,73,77,35,73,82,83,66,10,15,44,90,78,97,20,Chris Conley,76,40,22,25,WR,10,30,35,79,73,62,82,93,73,87,62,70,35,Chiefs,20,22,24,35,19,74,54,25,213.0,45.0,18.0,139.0,7.06,4.3,4.35
698,89,88,77,80,35,71,79,83,83,10,15,48,91,87,90,12,Albert Wilson,74,24,6,24,WR,10,15,42,69,75,42,78,91,83,88,41,47,25,Chiefs,6,10,15,24,10,68,45,17,202.0,37.5,10.0,123.0,7.0,4.21,4.43
713,91,97,69,87,20,72,72,78,90,10,12,40,80,89,85,19,De'Anthony Thomas,69,29,6,20,WR,10,15,35,58,72,28,77,92,89,81,35,41,19,Chiefs,15,20,25,32,25,64,38,35,174.0,32.0,8.0,124.0,121.61290322580645,4.206999999999997,4.39
